City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Udachny,66.4167,112.4,-16.58,93,100,2.55,RU,1731195404
1,Sretensk,52.2453,117.7093,-13.89,89,16,1.68,RU,1731195406
2,Wailua homesteads,22.0669,-159.378,27.44,79,75,7.2,US,1731195408
3,Edinburgh of the seven seas,-37.0676,-12.3116,15.39,91,100,3.75,SH,1731195431
4,Calvinia,-31.4707,19.776,15.38,46,2,2.68,ZA,1731195470
5,Invercargill,-46.4,168.35,17.79,48,100,0.89,NZ,1731195472
6,Port-aux-francais,-49.35,70.2167,5.14,83,87,11.46,TF,1731195474
7,Guayaramerin,-10.8368,-65.3614,23.78,95,80,1.4,BO,1731195476
8,Stanley,54.868,-1.6985,6.82,97,75,0.51,GB,1731195478
9,Al jawf,29.5,38.75,18.15,63,44,3.04,SA,1731195482
10,Pitkyaranta,61.5734,31.4792,1.07,80,58,3.71,RU,1731195484
11,Qaqortoq,60.7167,-46.0333,-0.4,98,100,2.37,GL,1731195486
12,Blackmans bay,-43.0167,147.3167,15.29,52,66,1.34,AU,1731195488
13,Aykhal,66.0,111.5,-15.21,91,100,6.54,RU,1731195490
14,Cairo,30.0626,31.2497,20.42,77,20,0.0,EG,1731195003
15,Hamilton,39.1834,-84.5333,15.05,56,100,2.06,US,1731195493
16,Waitangi,-43.9535,-176.5597,12.89,86,92,4.7,NZ,1731195495
17,Flying fish cove,-10.4217,105.6791,26.82,89,100,5.14,CX,1731195497
18,Mascouche,45.7496,-73.5996,5.86,57,0,3.29,CA,1731195499
19,Longyearbyen,78.2186,15.6401,-4.09,74,75,1.54,SJ,1731195501
20,Bani walid,31.7566,13.9942,17.35,73,1,1.77,LY,1731195503
21,Talnakh,69.4865,88.3972,-20.9,95,40,2.42,RU,1731195504
22,Novoishimskiy,53.1981,66.7694,0.27,97,100,9.17,KZ,1731195506
23,Lionel town,17.8101,-77.2406,25.75,83,100,0.06,JM,1731195508
24,Luderitz,-26.6481,15.1594,13.95,95,61,3.84,NA,1731195510
25,Maputo,-25.9653,32.5892,23.82,83,20,0.51,MZ,1731195377
26,Papatowai,-46.5619,169.4708,14.2,53,99,4.47,NZ,1731195514
27,Fort bragg,35.139,-79.006,16.01,62,0,0.45,US,1731195516
28,Bilibino,68.0546,166.4372,-23.74,99,96,0.59,RU,1731195517
29,Langtoucun,40.0261,124.3286,11.4,61,100,0.69,CN,1731195519
30,Bethel,41.3712,-73.414,7.28,44,0,1.34,US,1731195521
31,Yuzhno-kurilsk,44.0306,145.8556,9.0,67,18,1.62,RU,1731195523
32,Nzega,-2.479,29.5564,13.63,85,100,1.86,RW,1731195525
33,Impfondo,1.6381,18.0667,20.7,99,100,0.54,CG,1731195527
34,Dhidhdhoo,6.8833,73.1,27.97,70,40,0.6,MV,1731195529
35,Atafu village,-8.5421,-172.5159,28.33,70,79,3.54,TK,1731195531
36,Seven pagodas,12.6264,80.1722,25.74,76,86,4.8,IN,1731195532
37,Ponta delgada,37.7333,-25.6667,20.4,88,75,4.63,PT,1731195534
38,Sitka,57.0531,-135.33,7.94,66,75,5.14,US,1731195536
39,Arraial do cabo,-22.9661,-42.0278,22.78,83,100,6.57,BR,1731195540
40,Enewetak,11.3474,162.3373,28.44,79,19,6.27,MH,1731195542
41,Valley city,46.9233,-98.0032,7.29,100,100,0.0,US,1731195544
42,Al burayqah,30.4062,19.5739,18.78,64,1,3.88,LY,1731195546
43,Cidade velha,14.9167,-23.6167,26.26,73,0,4.63,CV,1731195548
44,Khandyga,62.6667,135.6,-16.55,98,98,0.99,RU,1731195551
45,Kharsia,21.9667,83.1167,19.12,67,0,0.88,IN,1731195553
46,Chernyshevsk,52.5243,117.0174,-14.5,84,3,1.15,RU,1731195555
47,Launceston,-41.45,147.1667,15.8,41,0,2.57,AU,1731195393
48,Oranjemund,-28.55,16.4333,14.79,96,63,2.48,NA,1731195559
49,Grytviken,-54.2811,-36.5092,-4.78,70,11,4.39,GS,1731195560
50,La passe,45.5549,-0.8967,14.44,93,23,2.95,FR,1731195563
51,Nichinan,31.6,131.3667,18.78,91,100,2.96,JP,1731195564
52,Pemba,-12.974,40.5178,26.15,81,12,2.48,MZ,1731195566
53,Ust-nera,64.5667,143.2,-21.78,96,100,1.02,RU,1731195568
54,Yekaterinoslavka,50.3734,129.1139,2.16,98,100,6.87,RU,1731195570
55,Port isabel,26.0734,-97.2086,26.02,77,0,5.36,US,1731195572
56,Constantia,44.1833,28.65,6.5,84,93,4.32,RO,1731195574
57,Bathsheba,13.2167,-59.5167,29.34,79,20,6.69,BB,1731195575
58,Vadso,70.0744,29.7487,3.09,70,75,5.14,NO,1731195577
59,Adamstown,-25.066,-130.1015,23.27,85,100,9.4,PN,1731195579
60,St. john's,47.5649,-52.7093,4.43,91,100,12.52,CA,1731195581
61,Ribeira grande,38.5167,-28.7,20.99,97,100,2.68,PT,1731195583
62,Malango,-2.9627,119.9001,23.73,79,65,0.55,ID,1731195584
63,Albany,42.6001,-73.9662,5.88,56,0,2.47,US,1731195586
64,Port alfred,-33.5906,26.891,16.27,76,26,2.59,ZA,1731195588
65,Martapura,-3.4167,114.85,24.05,94,20,2.06,ID,1731195590
66,La gomera,14.0833,-91.05,26.84,91,96,1.43,GT,1731195592
67,Saipan,15.1355,145.701,29.39,82,20,6.69,MP,1731195594
68,Mae ramat,16.984,98.5166,21.11,89,57,0.83,TH,1731195595
69,Kismayo,-0.3582,42.5454,26.41,81,12,4.33,SO,1731195597
70,Margaret river,-33.95,115.0667,14.5,58,5,1.93,AU,1731195599
71,Sept-iles,50.2001,-66.3821,-1.0,72,20,4.12,CA,1731195601
72,Codrington,-38.2667,141.9667,16.27,54,42,3.94,AU,1731195605
73,Port mathurin,-19.6833,63.4167,24.19,87,57,7.46,MU,1731195608
74,Ramban,33.25,75.25,14.69,47,0,2.87,IN,1731195609
75,Ilulissat,69.2167,-51.1,-4.99,74,100,4.63,GL,1731195611
76,Koungheul,13.9833,-14.8,27.12,22,1,1.08,SN,1731195613
77,Mil'kovo,55.6078,37.7956,7.41,62,100,5.28,RU,1731195615
78,La'ie,21.6477,-157.9253,27.98,76,23,2.68,US,1731195617
79,Awjilah,29.1081,21.2869,16.06,54,0,3.21,LY,1731195619
80,Bredasdorp,-34.5322,20.0403,16.41,79,41,5.85,ZA,1731195621
81,Georgetown,5.4112,100.3354,26.96,82,20,1.54,MY,1731195623
82,West island,-12.1568,96.8225,25.99,83,40,6.69,CC,1731195625
83,Arkhangel'sk,64.5401,40.5433,2.06,100,40,2.0,RU,1731195627
84,Chui,-33.6971,-53.4616,14.32,81,0,3.02,UY,1731195629
85,Utrik,11.2278,169.8474,28.4,74,81,9.7,MH,1731195630
86,An nimas,19.1455,42.1201,12.98,38,1,3.33,SA,1731195632
87,Mar del plata,-38.0023,-57.5575,22.01,68,0,5.66,AR,1731195634
88,Gadzhiyevo,69.2551,33.3362,2.87,78,99,10.18,RU,1731195636
89,Rongelap,11.1635,166.8941,28.18,80,80,9.89,MH,1731195638
90,Nadym,65.5333,72.5167,-6.84,95,100,7.7,RU,1731195640
91,Ayr,55.4627,-4.6339,7.99,81,75,2.06,GB,1731195642
92,Nova sintra,14.8667,-24.7167,26.45,76,57,5.56,CV,1731195643
93,Boa vista,2.8197,-60.6733,32.99,49,0,1.54,BR,1731195645
94,Usogorsk,63.4106,48.6872,-2.46,86,95,4.34,RU,1731195647
95,Phetchaburi,12.9667,99.5833,21.71,88,49,1.22,TH,1731195649
96,Cabedelo,-6.9811,-34.8339,26.37,76,64,5.83,BR,1731195651
97,Richards bay,-28.783,32.0377,20.17,89,100,3.94,ZA,1731195652
98,Kailua-kona,19.6406,-155.9956,27.98,79,75,3.6,US,1731195654
99,Tecax,20.2,-89.2833,24.16,94,86,0.54,MX,1731195656
100,Ballina,-28.8667,153.5667,24.29,75,81,1.23,AU,1731195658
101,Kingston,17.997,-76.7936,26.53,83,75,3.09,JM,1731195660
